"","key","Diammonium Phosphate","NPK","Urea","RealInterest","ForexReserves","ElectionYr","ElectionYr1","GDP","ControlofCorruption","SharePrivateSectorSalesAnnual","NumFirmsImportingFert","WorldUrea","Natural gas index","Year","Month","Country","Diesel","ExchangeRate","CPI","MaizePrice","MonthlyUreaImportMT"
"1","2010-1-Kenya",NA,NA,NA,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,266.5,119.14,"2010","1","Kenya",NA,75.293999,0.45161834120027,NA,NA
"2","2010-2-Kenya",NA,NA,NA,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,297.5,113.76,"2010","2","Kenya",NA,75.452003,0.45288267026298,NA,NA
"3","2010-3-Kenya",48168,47745,39066.6666666667,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,278.7,101.64,"2010","3","Kenya",NA,77.25,0.451955495616993,NA,NA
"4","2010-4-Kenya",49680,47213.3333333333,39800,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,253.75,91.83,"2010","4","Kenya",NA,73.382004,0.454484153742414,NA,NA
"5","2010-5-Kenya",49926.6666666667,44940,NA,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,234,92.75,"2010","5","Kenya",NA,75.876999,0.455495616992583,NA,NA
"6","2010-6-Kenya",NA,NA,NA,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,226.25,102.12,"2010","6","Kenya",NA,77.685997,0.454737019554956,NA,NA
"7","2010-7-Kenya",52602.5,47295,40696,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,259.38,102.07,"2010","7","Kenya",NA,80.050003,0.45633850303439,NA,NA
"8","2010-8-Kenya",50583.3333333333,49250,40800,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,263.5,100.1,"2010","8","Kenya",NA,77.139999,0.45751854349292,NA,NA
"9","2010-9-Kenya",51880,50970,40040,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,308.75,94.24,"2010","9","Kenya",NA,77.150002,0.459541469993257,NA,NA
"10","2010-10-Kenya",54546.6666666667,49653.3333333333,36070,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,332.5,88.62,"2010","10","Kenya",NA,80.400002,0.460552933243425,NA,NA
"11","2010-11-Kenya",58497.5,49400,39716,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,365.4,93.44,"2010","11","Kenya",NA,76.950996,0.464430209035738,NA,NA
"12","2010-12-Kenya",59751.4285714286,46775,40568,12.526958492458,4320.15574901272,1,0,45405.615233,-0.911055028438568,0.425203304001689,12,380.63,100.29,"2010","12","Kenya",NA,80.5,0.470920431557653,NA,NA
"13","2011-1-Kenya",61028,48552,41920,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,378.5,108.01,"2011","1","Kenya",NA,80.800003,0.476062036412677,14112.8,NA
"14","2011-2-Kenya",64745,57090,47780,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,297.5,102.12,"2011","2","Kenya",NA,82,0.482467970330411,17121.2,NA
"15","2011-3-Kenya",62782.8571428571,52610,45880,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,278.7,101.24,"2011","3","Kenya",NA,82.699997,0.493509777478085,19844.4,NA
"16","2011-4-Kenya",73500,NA,49090,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,253.75,109.57,"2011","4","Kenya",NA,82.800003,0.509271746459879,23763.6,NA
"17","2011-5-Kenya",72170,59146.6666666667,54176.6666666667,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,234,110.51,"2011","5","Kenya",NA,84.160004,0.514413351314902,30663.6,NA
"18","2011-6-Kenya",76884,60660,54782.8571428571,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,478.75,113.85,"2011","6","Kenya",NA,87.958,0.520566419420094,NA,NA
"19","2011-7-Kenya",73197.7777777778,59972,56173.3333333333,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,483.75,116.83,"2011","7","Kenya",NA,89.18,0.527225219150371,41970.4,NA
"20","2011-8-Kenya",73140,60206.6666666667,NA,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,475.5,111.83,"2011","8","Kenya",NA,93.599998,0.533799730276467,33736.4,NA
"21","2011-9-Kenya",83333.3333333333,64830,63384,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,508.75,109.98,"2011","9","Kenya",NA,99,0.539194200944032,31086.8,NA
"22","2011-10-Kenya",79786.6666666667,66786.6666666667,62453.3333333333,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,493.5,108.78,"2011","10","Kenya",NA,97.917,0.547707349966285,NA,NA
"23","2011-11-Kenya",89808,73650,67004,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,481.25,104.56,"2011","11","Kenya",NA,88.158997,0.555967633175995,39872.8,NA
"24","2011-12-Kenya",95908.8888888889,83440,72688,4.52618583226898,4264.38020981446,0,1,46869.475981,-0.96374249458313,0.425203304001689,12,423.13,104.4,"2011","12","Kenya",NA,83.695,0.56009777478085,NA,NA
"25","2012-1-Kenya",94657.5,76895,75833.3333333333,9.31351134458288,5710.99932495431,0,0,56770.638927,-1.09887766838074,0.425203304001689,12,368,98.29,"2012","1","Kenya",NA,83.699997,0.563216453135536,NA,NA
"26","2012-2-Kenya",91010,79766.6666666667,69124,9.31351134458288,5710.99932495431,0,0,56770.638927,-1.09887766838074,0.425203304001689,12,375,94.32,"2012","2","Kenya",NA,82,0.562963587322994,NA,NA
