"","Year","Dates","cy","GDP","LocalUreaPrice","Month","ExchangeRate","Country","RealInterest","CPI","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsImportingFert","FuelPrice","SharePrivateSectorSalesAnnual"
"1","2010",2010-07-01,"Ghana 2010",42587.418803,352.112676056338,7,1.42,"Ghana",14.6666666666667,0.278850553674385,375.774647887324,"0","0",18874,2801612118.87999,259.38,102.07,5.22289715423772,0.937031484257871,168.944716372462,0.0142804691568017,0.00352734051796838,0.0118852505039753,0.93,120,23,2.14464788732394,1
"2","2010",2010-08-01,"Ghana 2010",42587.418803,339.510538972981,8,1.4138,"Ghana",14.6666666666667,0.278576004392789,369.288442495402,"0","0",18874,2801612118.87999,263.5,100.1,5.02406244966819,0.919364106493009,157.821318675098,0.0142804691568017,-0.00437575685845276,-0.000985060004132565,0.93,120,23,2.15405290705899,1
"3","2010",2010-09-01,"Ghana 2010",42587.418803,351.493848857645,9,1.4225,"Ghana",14.6666666666667,0.275922028004027,321.757469244288,"0","0",18874,2801612118.87999,308.75,94.24,4.44850928474402,1.0924186148132,225.885406091333,0.0142804691568017,0.00613477226363246,-0.00957260982029062,0.93,120,23,2.14087873462214,1
"4","2010",2010-10-01,"Ghana 2010",42587.418803,350.877192982456,10,1.425,"Ghana",14.6666666666667,0.278209938683994,280.19649122807,"0","0",18874,2801612118.87999,332.5,88.62,3.60499699942757,1.25225405730315,200.248751237593,0.0142804691568017,0.00175592670226488,0.00825768523898152,0.93,120,23,2.13712280701754,1
"5","2010",2010-11-01,"Ghana 2010",42587.418803,344.589937973811,11,1.451,"Ghana",14.6666666666667,0.278392971538391,286.905582356995,"0","0",18874,2801612118.87999,365.4,93.44,-3.72916059127238,1.20105693009849,312.8,0.0142804691568017,0.018081160181437,0.000657678418970908,0.93,120,23,2.09882839421089,1
"6","2010",2010-12-01,"Ghana 2010",42587.418803,340.136054421769,12,1.47,"Ghana",14.6666666666667,0.280131783655166,334.829931972789,"0","0",18874,2801612118.87999,380.63,100.29,-4.39445207811734,1.01584721657863,286.905582356995,0.0142804691568017,0.013009426888594,0.00622646612617417,0.93,120,23,2.07170068027211,1
"7","2011",2011-01-01,"Ghana 2011",52369.940336,443.025604273894,1,1.5349,"Ghana",12.9166666666667,0.296604740550929,339.25337155515,"0","0",16458,3291140154.57499,378.5,108.01,4.86026933053267,1.3058841603933,164.55188444798,-0.0291263181716204,0.0432028315465804,0.0571402641961349,0.93,120,23,1.98410319890547,1
"8","2011",2011-02-01,"Ghana 2011",52369.940336,369.230769230769,2,1.495,"Ghana",12.9166666666667,0.296970806259724,376.923076923077,"0","0",16458,3291140154.57499,297.5,102.12,4.96611555907663,0.979591836734694,165.963394342762,-0.0291263181716204,-0.0263390254945755,0.00123342599664311,0.93,120,23,2.03705685618729,1
"9","2011",2011-03-01,"Ghana 2011",52369.940336,570.490265071546,3,1.5225,"Ghana",12.9166666666667,0.295048961288551,345.944170771757,"0","0",16458,3291140154.57499,278.7,101.24,6.36918539071905,1.64908188451002,376.923076923077,-0.0291263181716204,0.0182275137592652,-0.00649252551167145,0.93,120,23,2.00026272577997,1
"10","2011",2011-04-01,"Ghana 2011",52369.940336,593.959731543624,4,1.49,"Ghana",12.9166666666667,0.298069003386108,353.489932885906,"0","0",16458,3291140154.57499,253.75,109.57,6.52271162543019,1.68027340041769,296.774193548387,-0.0291263181716204,-0.0215776006445472,0.0101837016497144,0.93,120,23,2.04389261744966,1
