"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Model"
"1","(Intercept)",-1.70332115926655,7.09839475375924,-0.239958641122979,0.810698894916704,-15.7322027854501,12.325560466917,"Ghana NationalPrice"
"2","log(RealInterest)",0.836571750132556,0.173039150972548,4.83458076065847,3.34545991409832e-06,0.49458657603336,1.17855692423175,"Ghana NationalPrice"
"3","CPIMovements",0.0917642193048252,1.15393743691166,0.0795226988652161,0.936725772248875,-2.18881501980865,2.3723434584183,"Ghana NationalPrice"
"4","log(GDP)",0.199903467856499,0.33355573256223,0.59931054496029,0.549894678528507,-0.459317954757718,0.859124890470715,"Ghana NationalPrice"
"5","ExchangeRateMovements",-0.268958547791433,0.226608154669378,-1.18688821319711,0.237199344083742,-0.716814589567779,0.178897493984913,"Ghana NationalPrice"
"6","log(ForexRev)",-0.0324827287516267,0.228261609711263,-0.142304826434525,0.88703542397632,-0.48360656921507,0.418641111711816,"Ghana NationalPrice"
"7","log(FuelPrice)",0.164779803011597,0.176784141662377,0.932096066208776,0.352825689240153,-0.184606767163939,0.514166373187132,"Ghana NationalPrice"
"8","log(WorldGasPrice)",0.0982598491696638,0.0718489459550715,1.36758929255702,0.173542194254383,-0.043738502955787,0.240258201295115,"Ghana NationalPrice"
"9","log(WorldUreaPrice)",0.292754622700755,0.0892096782815602,3.28164643500646,0.00129108740512638,0.116445462681282,0.469063782720228,"Ghana NationalPrice"
"10","CorruptionControl",0.174386547348711,0.486453576915631,0.358485486846273,0.720497852948296,-0.787013865550111,1.13578696024753,"Ghana NationalPrice"
"11","lag(log(LocalMaizePrice))",0.389605428879668,0.0833631398420421,4.67359350449011,6.66716313172286e-06,0.224851049699553,0.554359808059784,"Ghana NationalPrice"
"12","ElectionYr1",0.0751978939025661,0.103063403302843,0.729627505911126,0.466786877143656,-0.128491015362657,0.278886803167789,"Ghana NationalPrice"
"13","OneYrAfterElectionYr1",0.115996411461784,0.0691430953225725,1.67762827106057,0.0955591944847697,-0.0206542445241477,0.252647067447715,"Ghana NationalPrice"
"14","SharePrivateSectorSalesAnnual",-0.0301098900116752,0.143516182477788,-0.20980135822896,0.834115193993983,-0.313747473615544,0.253527693592193,"Ghana NationalPrice"
"15","log(MonthlyUreaImportMT)",-0.016582957465741,0.0118254065255624,-1.40231605821706,0.162943553361121,-0.0399540482663414,0.00678813333485945,"Ghana NationalPrice"
"16","log(NumFirmsImportingFert)",-0.164972996795564,0.143068219169297,-1.15310722222904,0.250750719875038,-0.447725250061279,0.117779256470151,"Ghana NationalPrice"
"17","(Intercept)",275.082517741377,99.3748525149752,2.76813007294701,0.00636391273340632,78.6946241347227,471.47041134803,"Ghana Wedge"
"18","log(RealInterest)",2.20911844855697,2.2877424060584,0.965632512955472,0.335814020955466,-2.31199429646796,6.73023119358189,"Ghana Wedge"
"19","CPIMovements",9.1786552682065,16.0860359243653,0.570597710421852,0.569143551901384,-22.611104733611,40.968415270024,"Ghana Wedge"
"20","log(GDP)",1.46862823895177,4.57283492728283,0.321163624383096,0.748542560513293,-7.56836046042449,10.505616938328,"Ghana Wedge"
