"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","Model"
"1","log(WorldGasPrice)",0.204859710713769,0.0351866355227769,5.82208863308798,8.42665721554869e-09,0.135895172351989,0.273824249075549,"NationalPrice"
"2","log(WorldUreaPrice)",0.246711552199472,0.0357047618260521,6.90976608110176,9.94745065767253e-12,0.176731504943829,0.316691599455114,"NationalPrice"
"3","log(FuelPrice)",0.353082100251315,0.047270927588825,7.46932878750585,2.12158451330776e-13,0.260432784661417,0.445731415841213,"NationalPrice"
"4","lag(log(LocalMaizePrice))",0.206381941446811,0.0263702411550026,7.8263198365806,1.59918007553798e-14,0.15469721851937,0.258066664374253,"NationalPrice"
"5","SharePrivateSectorSalesAnnual",-0.0608862926044186,0.0359616799027449,-1.69308810848325,0.0908299723972556,-0.131369890037356,0.00959730482851928,"NationalPrice"
"6","log(MonthlyUreaImportMT)",0.0036774123756972,0.00236982445782123,1.55176572828442,0.121115766456987,-0.000967358211314569,0.00832218296270897,"NationalPrice"
"7","log(NumFirmsImportingFert)",0.00926245726976425,0.0291625743060117,0.317614527872968,0.750860649358356,-0.0478951380664919,0.0664200526060204,"NationalPrice"
"8","ExchangeRateMovements",-0.352473758037222,0.108412865491971,-3.25121706208683,0.00119746191288802,-0.564959069862271,-0.139988446212173,"NationalPrice"
"9","CPIMovements",0.179712389164921,0.183824949030308,0.977627847106275,0.328555436216758,-0.180577890394394,0.540002668724235,"NationalPrice"
"10","log(GDP)",-0.281392006444556,0.0718138613833478,-3.91835226548346,9.68184041049098e-05,-0.422144588346669,-0.140639424542443,"NationalPrice"
"11","log(RealInterest)",-0.0154485267572022,0.0184851318160332,-0.835727162291739,0.403559194113025,-0.0516787193661028,0.0207816658516984,"NationalPrice"
"12","log(ForexRev)",0.0553082164893022,0.033901056244262,1.63145997843839,0.103188838509284,-0.0111366327873179,0.121753065765922,"NationalPrice"
"13","ElectionYr1",0.0110872931242118,0.0164350279165779,0.67461358632851,0.500117179146407,-0.0211247696771912,0.0432993559256148,"NationalPrice"
"14","OneYrAfterElectionYr1",0.0651879751995908,0.0150922467433894,4.31930224226847,1.76303531545172e-05,0.0356077151367557,0.0947682352624259,"NationalPrice"
"15","CorruptionControl",-0.298276151890358,0.0627444485297594,-4.75382538024678,2.36873189811382e-06,-0.421253011238514,-0.175299292542203,"NationalPrice"
