"","cy","Dates","Year","GDP","NationalPrice","Month","ExchangeRate","Country","RealInterest","CPI","MaizePrice","Electionlag","Election","MaizeYield","ForexRev","WorldPrice","GasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionEstimate"
"1","Ghana 2010",2010-06-01,"2010",42587.418803,776.666666666667,6,1.415,"Ghana",14.6666666666667,0.275555962295232,377.102473498233,"0","0",18874,4763.20612884547,226.25,102.12,6.46965895078388,1.45552223888056,255.835104917631,0.0142804691568017
"2","Ghana 2010",2010-07-01,"2010",42587.418803,500,7,1.42,"Ghana",14.6666666666667,0.278850553674385,375.774647887324,"0","0",18874,4763.20612884547,259.38,102.07,5.22289715423772,0.937031484257871,168.944716372462,0.0142804691568017
"3","Ghana 2010",2010-08-01,"2010",42587.418803,480,8,1.4138,"Ghana",14.6666666666667,0.278576004392789,369.288442495402,"0","0",18874,4763.20612884547,263.5,100.1,5.02406244966819,0.919364106493009,157.821318675098,0.0142804691568017
"4","Ghana 2010",2010-09-01,"2010",42587.418803,500,9,1.4225,"Ghana",14.6666666666667,0.275922028004027,321.757469244288,"0","0",18874,4763.20612884547,308.75,94.24,4.44850928474402,1.0924186148132,225.885406091333,0.0142804691568017
"5","Ghana 2010",2010-10-01,"2010",42587.418803,500,10,1.425,"Ghana",14.6666666666667,0.278209938683994,280.19649122807,"0","0",18874,4763.20612884547,332.5,88.62,3.60499699942757,1.25225405730315,200.248751237593,0.0142804691568017
"6","Ghana 2010",2010-11-01,"2010",42587.418803,500,11,1.451,"Ghana",14.6666666666667,0.278392971538391,286.905582356995,"0","0",18874,4763.20612884547,365.4,93.44,-3.72916059127238,1.20105693009849,312.8,0.0142804691568017
"7","Ghana 2010",2010-12-01,"2010",42587.418803,500,12,1.47,"Ghana",14.6666666666667,0.280131783655166,334.829931972789,"0","0",18874,4763.20612884547,380.63,100.29,-4.39445207811734,1.01584721657863,286.905582356995,0.0142804691568017
"8","Ghana 2011",2011-01-01,"2011",52369.940336,680,1,1.5349,"Ghana",12.9166666666667,0.296604740550929,339.25337155515,"0","0",16458,5483.38903724248,378.5,108.01,4.86026933053267,1.3058841603933,164.55188444798,-0.0291263181716204
"9","Ghana 2011",2011-02-01,"2011",52369.940336,552,2,1.495,"Ghana",12.9166666666667,0.296970806259724,376.923076923077,"0","0",16458,5483.38903724248,297.5,102.12,4.96611555907663,0.979591836734694,165.963394342762,-0.0291263181716204
"10","Ghana 2011",2011-03-01,"2011",52369.940336,868.571428571429,3,1.5225,"Ghana",12.9166666666667,0.295048961288551,345.944170771757,"0","0",16458,5483.38903724248,278.7,101.24,6.36918539071905,1.64908188451002,376.923076923077,-0.0291263181716204
"11","Ghana 2011",2011-04-01,"2011",52369.940336,885,4,1.49,"Ghana",12.9166666666667,0.298069003386108,353.489932885906,"0","0",16458,5483.38903724248,253.75,109.57,6.52271162543019,1.68027340041769,296.774193548387,-0.0291263181716204
