"Variable","Mean","StdDev"
"Year",NA,"3.971694"
"Dates","2017-04-16","1445.378"
"cy",NA,NA
"GDP","63104.84","10009.69"
"LocalUreaPrice","2926.393","2875.334"
"Month","6.54878","3.485826"
"ExchangeRate","4.810646","2.974158"
"Country",NA,NA
"RealInterest","18.16606","3.896551"
"CPI","0.7130101","0.3915105"
"LocalMaizePrice","375.7723","87.2453"
"ElectionYr",NA,"0.4617657"
"OneYrAfterElectionYr",NA,"0.4563877"
"LocalMaizeYield","21311.71","3424.185"
"ForexRev","4361471190","1060664837"
"WorldUreaPrice","337.5355","150.9112"
"WorldGasPrice","102.0395","62.29869"
"Wedge","5.085718","2.969021"
"UreaMaizeRatio","1.450621","0.4441991"
"LagMaize","257.8639","102.182"
"CorruptionControl","-0.123045","0.06908715"
"ExchangeRateMovements","0.0132182","0.06234744"
"CPIMovements","0.01057243","0.01920968"
"CR4ratioAnnual","0.7737037","0.1448018"
"MonthlyUreaImportMT","5976.416","8652.213"
"NumFirmsImportingFert","26.25926","7.409542"
"FuelPrice","5.529092","3.768758"
"SharePrivateSectorSalesAnnual","0.7204879","0.2930043"
