"Date","Ghana, WHOLESALE, Accra, Maize, GHS/100 kg"
"08/01/2023","555.56"
"07/01/2023","555.56"
"06/01/2023","555.56"
"05/01/2023","555.56"
"04/01/2023","555.56"
"03/01/2023","555.56"
"02/01/2023","555.56"
"01/01/2023","411.11"
"12/01/2022","411.11"
"11/01/2022","411.11"
"10/01/2022","411.11"
"09/01/2022","413.89"
"08/01/2022","438.89"
"07/01/2022","488.89"
"06/01/2022","488.89"
"05/01/2022","447.22"
"04/01/2022","433.33"
"03/01/2022","363.11"
"02/01/2022","313.25"
"01/01/2022","322.66"
"12/01/2021","320"
"11/01/2021","322.22"
"10/01/2021","321.48"
"09/01/2021","316.11"
"08/01/2021","320"
"07/01/2021","320"
"06/01/2021","320"
"05/01/2021","253.33"
"04/01/2021","245.45"
"03/01/2021","227.45"
"02/01/2021","207.22"
"01/01/2021","227.78"
"12/01/2020","169.44"
"11/01/2020","163.96"
"10/01/2020","177.78"
"09/01/2020","157.78"
"08/01/2020","168.45"
"07/01/2020","176"
"06/01/2020","175.78"
"05/01/2020","175.56"
"04/01/2020",""
"03/01/2020","164.44"
"02/01/2020","166.67"
"01/01/2020","158.49"
"12/01/2019","171.11"
"11/01/2019","171.11"
"10/01/2019","170"
"09/01/2019","141.97"
"08/01/2019","149.2"
"07/01/2019","160"
"06/01/2019","160"
"05/01/2019","160"
"04/01/2019","171"
"03/01/2019","156"
"02/01/2019","144.5"
"01/01/2019","135.67"
"12/01/2018","133"
"11/01/2018","133.08"
"10/01/2018","133"
"09/01/2018","158.58"
"08/01/2018","164"
"07/01/2018","182"
"06/01/2018","178.49"
"05/01/2018","164.44"
"04/01/2018","164.44"
"03/01/2018","164.44"
"02/01/2018","162.96"
"01/01/2018","150"
"12/01/2017","150"
"11/01/2017","135"
"10/01/2017","137.22"
"09/01/2017","160"
"08/01/2017","160"
"07/01/2017","160"
"06/01/2017","156.25"
"05/01/2017","150"
"04/01/2017","144"
"03/01/2017","140"
"02/01/2017","132.5"
"01/01/2017","120"
"12/01/2016","120"
"11/01/2016","150"
"10/01/2016","180"
"09/01/2016","180"
"08/01/2016","185"
"07/01/2016","190"
"06/01/2016","190"
"05/01/2016","190"
"04/01/2016","182"
"03/01/2016","176.25"
"02/01/2016","173.75"
"01/01/2016","170"
"12/01/2015","162.5"
"11/01/2015","155"
"10/01/2015","147"
"09/01/2015","192"
"08/01/2015","198.4"
"07/01/2015","185"
"06/01/2015","165"
"05/01/2015","146"
"04/01/2015","140.5"
"03/01/2015","130"
"02/01/2015","129"
"01/01/2015","127"
"12/01/2014","114"
"11/01/2014","114"
"10/01/2014","128.5"
"09/01/2014","128.5"
"08/01/2014","128.5"
"07/01/2014","109.25"
"06/01/2014","109.25"
"05/01/2014","109.2"
"04/01/2014","103.25"
"03/01/2014","102"
"02/01/2014","95.5"
"01/01/2014","88.75"
"12/01/2013","85.5"
"11/01/2013","80.25"
"10/01/2013","80.25"
"09/01/2013","79"
"08/01/2013","78.5"
"07/01/2013","77.5"
"06/01/2013","81.25"
"05/01/2013","82.25"
"04/01/2013","84.5"
"03/01/2013","84.75"
"02/01/2013","85.5"
"01/01/2013","84.5"
"12/01/2012","87"
"11/01/2012","85.5"
"10/01/2012","87.75"
"09/01/2012","97.5"
"08/01/2012","114.5"
"07/01/2012","114.25"
"06/01/2012","118.5"
"05/01/2012","116.5"
"04/01/2012","105.25"
"03/01/2012","99.25"
"02/01/2012","98.25"
"01/01/2012","102.25"
"12/01/2011","89"
"11/01/2011","70.25"
"10/01/2011","64.5"
"09/01/2011","69.75"
"08/01/2011","89"
"07/01/2011","82"
"06/01/2011","80.75"
"05/01/2011","72.5"
"04/01/2011","57.25"
"03/01/2011","57.25"
"02/01/2011","61.25"
"01/01/2011","56.6"
"12/01/2010","53.5"
"11/01/2010","45.25"
"10/01/2010","43.4"
"09/01/2010","49.75"
"08/01/2010","56.75"
"07/01/2010","58"
"06/01/2010","58"
"05/01/2010","58.8"
"04/01/2010","54.25"
"03/01/2010","51"
"02/01/2010","53.25"
"01/01/2010","53.4"
"12/01/2009","51.5"
"11/01/2009","50"
"10/01/2009","46.8"
"09/01/2009","51.5"
"08/01/2009","71.4"
"07/01/2009","75.25"
"06/01/2009","75.8"
"05/01/2009","71.2"
"04/01/2009","59.5"
"03/01/2009","57.75"
"02/01/2009","56.25"
"01/01/2009","58"
"12/01/2008","57.5"
"11/01/2008","57.4"
"10/01/2008","46.5"
"09/01/2008","43.5"
"08/01/2008","59.75"
"07/01/2008","81.6"
"06/01/2008","62.25"
"05/01/2008","52"
"04/01/2008","46.5"
"03/01/2008","41.67"
"02/01/2008","34.25"
"01/01/2008","30.75"
"12/01/2007","31.5"
"11/01/2007","32"
"10/01/2007","23.5"
"09/01/2007","29.75"
"08/01/2007","30.95"
"07/01/2007","31.7"
"06/01/2007","33.3"
"05/01/2007","32.5"
"04/01/2007","30.38"
"03/01/2007","28.9"
"02/01/2007","27.9"
"01/01/2007","25"
"12/01/2006","22"
"11/01/2006","21.08"
"10/01/2006","17.75"
"09/01/2006","18.65"
"08/01/2006","22.75"
"07/01/2006","27.85"
"06/01/2006","29.73"
"05/01/2006","26.58"
"04/01/2006","24.65"
"03/01/2006","25.9"
"02/01/2006","27.05"
"01/01/2006","28.2"
