"","Year","Dates","NationalPrice","Month","Interest"
"1",2010,2010-09-01,2002,9,12.526958492458
"2",2010,2010-10-01,1803.5,10,12.526958492458
"3",2010,2010-07-01,2034.8,7,12.526958492458
"4",2010,2010-08-01,2040,8,12.526958492458
"5",2010,2010-03-01,1953.33333333333,3,12.526958492458
"6",2010,2010-04-01,1990,4,12.526958492458
"7",2010,2010-05-01,NA,5,12.526958492458
"8",2010,2010-06-01,NA,6,12.526958492458
"9",2010,2010-12-01,2028.4,12,12.526958492458
"10",2010,2010-11-01,1985.8,11,12.526958492458
"11",2011,2011-10-01,3122.66666666667,10,4.52618583226898
"12",2011,2011-11-01,3350.2,11,4.52618583226898
"13",2011,2011-09-01,3169.2,9,4.52618583226898
"14",2011,2011-01-01,2096,1,4.52618583226898
"15",2011,2011-02-01,2389,2,4.52618583226898
"16",2011,2011-03-01,2294,3,4.52618583226898
"17",2011,2011-04-01,2454.5,4,4.52618583226898
"18",2011,2011-05-01,2708.83333333333,5,4.52618583226898
"19",2011,2011-06-01,2739.14285714286,6,4.52618583226898
"20",2011,2011-07-01,2808.66666666667,7,4.52618583226898
"21",2011,2011-08-01,NA,8,4.52618583226898
"22",2011,2011-12-01,3634.4,12,4.52618583226898
"23",2012,2012-10-01,3072,10,9.31351134458288
"24",2012,2012-11-01,3652.16666666667,11,9.31351134458288
"25",2012,2012-12-01,NA,12,9.31351134458288
"26",2012,2012-01-01,3791.66666666667,1,9.31351134458288
"27",2012,2012-02-01,3456.2,2,9.31351134458288
"28",2012,2012-03-01,3385.6,3,9.31351134458288
"29",2012,2012-04-01,3405.2,4,9.31351134458288
"30",2012,2012-05-01,3624,5,9.31351134458288
"31",2012,2012-06-01,3430.8,6,9.31351134458288
"32",2012,2012-07-01,3729,7,9.31351134458288
"33",2012,2012-08-01,3756.33333333333,8,9.31351134458288
"34",2012,2012-09-01,3529.125,9,9.31351134458288
"35",2013,2013-11-01,3012,11,9.29394635969954
"36",2013,2013-12-01,2929.5,12,9.29394635969954
"37",2013,2013-03-01,3341.66666666667,3,9.29394635969954
"38",2013,2013-04-01,2901,4,9.29394635969954
"39",2013,2013-01-01,3259.5,1,9.29394635969954
"40",2013,2013-02-01,3398,2,9.29394635969954
"41",2013,2013-07-01,2991.2,7,9.29394635969954
"42",2013,2013-08-01,2892,8,9.29394635969954
"43",2013,2013-05-01,3266.66666666667,5,9.29394635969954
"44",2013,2013-06-01,3325.33333333333,6,9.29394635969954
"45",2013,2013-09-01,3295,9,9.29394635969954
"46",2013,2013-10-01,2813,10,9.29394635969954
"47",2014,2014-01-01,2797.8,1,8.24907899217324
"48",2014,2014-02-01,3000,2,8.24907899217324
"49",2014,2014-04-01,2736.16666666667,4,8.24907899217324
"50",2014,2014-05-01,2634.5,5,8.24907899217324
"51",2014,2014-06-01,2611.2,6,8.24907899217324
