"Variable","Mean","StdDev"
"Year",NA,"4.060422"
"Dates","2017-02-14","1480.552"
"cy",NA,NA
"GDP","82327.23","23721.87"
"LocalUreaPrice","73475.86","18392.67"
"Month","6.5","3.462373"
"ExchangeRate","100.4399","17.15508"
"Country",NA,NA
"RealInterest","7.661318","1.99095"
"CPI","0.7771179","0.1973898"
"LocalMaizePrice","300.6139","68.32501"
"ElectionYr",NA,"0.4531045"
"OneYrAfterElectionYr",NA,"0.4472455"
"LocalMaizeYield","16152.7","1345.61"
"ForexRev","5054988949","1158428279"
"WorldUreaPrice","335.4079","149.7507"
"WorldGasPrice","101.9215","61.55724"
"Wedge","6.292541","2.093179"
"UreaMaizeRatio","2.484723","0.4005986"
"LagMaize","295.3285","114.4373"
"CorruptionControl","-0.9032107","0.1094123"
"ExchangeRateMovements","0.01528745","0.1422046"
"CPIMovements","-0.001742066","0.09622917"
"CR4ratioAnnual","0.693253","0.05520449"
"MonthlyUreaImportMT","15508.19","9185.348"
"NumFirmsImportingFert","12.28916","3.441388"
"FuelPrice","108.0436","25.41569"
"SharePrivateSectorSalesAnnual","0.6811859","0.2352225"
