"Variable","Mean","StdDev"
"Year",NA,"3.095431"
"Dates","2015-08-16","1129.105"
"cy",NA,NA
"GDP","8408.83","1808"
"LocalUreaPrice","326863","104479.8"
"Month","6.625","3.439007"
"ExchangeRate","501.4033","225.4315"
"Country",NA,NA
"RealInterest","17.20652","5.156133"
"CPI","0.4880516","0.224496"
"LocalMaizePrice","194.5768","54.54131"
"ElectionYr",NA,"0.2926259"
"OneYrAfterElectionYr",NA,"0.391846"
"LocalMaizeYield","19671.81","2817.433"
"ForexRev","383608797","161966889"
"WorldUreaPrice","286.209","80.86786"
"WorldGasPrice","82.7018","24.24974"
"Wedge","6.707253","0.3145984"
"UreaMaizeRatio","3.925826","1.325859"
"LagMaize","289.1485","92.17726"
"CorruptionControl","-0.6393034","0.1528327"
"ExchangeRateMovements","0.01205869","0.06623091"
"CPIMovements","-0.002238891","0.1661546"
"CR4ratioAnnual","0.695","0.02608285"
"MonthlyUreaImportMT","52377.48","59597.99"
"NumFirmsImportingFert","16.3125","3.499719"
"FuelPrice","819.5634","49.02159"
"SharePrivateSectorSalesAnnual","0.5328125","0.2476375"
