"Date","Malawi, RETAIL, National Average, Maize, MWK/Kg"
"01/01/2024","911"
"12/01/2023","826"
"11/01/2023","747"
"10/01/2023","718"
"09/01/2023","697"
"08/01/2023","683.75"
"07/01/2023","595"
"06/01/2023","500.25"
"05/01/2023","473.5"
"04/01/2023","575.13"
"03/01/2023","696.5"
"02/01/2023","608.5"
"01/01/2023","495.25"
"12/01/2022","468.25"
"11/01/2022","458"
"10/01/2022","369.6"
"09/01/2022","326"
"08/01/2022","322"
"07/01/2022","310"
"06/01/2022","255"
"05/01/2022","204"
"04/01/2022","209"
"03/01/2022","185"
"02/01/2022","188"
"01/01/2022","191"
"12/01/2021","152"
"11/01/2021","146"
"10/01/2021","148"
"09/01/2021","146.75"
"08/01/2021","141.5"
"07/01/2021","130.6"
"06/01/2021","133.25"
"05/01/2021","126.75"
"04/01/2021","175.5"
"03/01/2021","181.5"
"02/01/2021","187"
"01/01/2021","205.4"
"12/01/2020","200.5"
"11/01/2020","197.25"
"10/01/2020","193.8"
"09/01/2020","181"
"08/01/2020","175"
"07/01/2020","173.4"
"06/01/2020","174.25"
"05/01/2020","168.2"
"04/01/2020","177.25"
"03/01/2020","301.25"
"02/01/2020","339.2"
"01/01/2020","315.75"
"12/01/2019","276"
"11/01/2019","254"
"10/01/2019","235"
"09/01/2019","225"
"08/01/2019","217"
"07/01/2019","192"
"06/01/2019","165.4"
"05/01/2019","163"
"04/01/2019","169"
"03/01/2019","181.8"
"02/01/2019","171.25"
"01/01/2019","160.5"
"12/01/2018","145.4"
"11/01/2018","129.25"
"10/01/2018","125.5"
"09/01/2018","124.4"
"08/01/2018","120.25"
"07/01/2018","114.75"
"06/01/2018","101.4"
"05/01/2018","98"
"04/01/2018","106"
"03/01/2018","115.2"
"02/01/2018","114.25"
"01/01/2018","90.4"
"12/01/2017","86.5"
"11/01/2017","88.33"
"10/01/2017","122.4"
"09/01/2017","131.5"
"08/01/2017","131.67"
"07/01/2017","134.4"
"06/01/2017","137.6"
"05/01/2017","142.67"
"04/01/2017","171.2"
"03/01/2017","205.2"
"02/01/2017","213.5"
"01/01/2017","224"
"12/01/2016","229.33"
"11/01/2016","225.25"
"10/01/2016","217.25"
"09/01/2016","232.57"
"08/01/2016","222.63"
"07/01/2016","217.54"
"06/01/2016","204.66"
"05/01/2016","173.43"
"04/01/2016","175.65"
"03/01/2016","236.84"
"02/01/2016","241.61"
"01/01/2016","200.37"
"12/01/2015","152.69"
"11/01/2015","147.87"
"10/01/2015","147.54"
"09/01/2015","130.69"
"08/01/2015","123.02"
"07/01/2015","116.74"
"06/01/2015","111.43"
"05/01/2015","103.85"
"04/01/2015","111.15"
"03/01/2015","96.95"
"02/01/2015","94.72"
"01/01/2015","93.13"
"12/01/2014","76.49"
"11/01/2014","71.37"
"10/01/2014","73.16"
"09/01/2014","75.16"
"08/01/2014","78.7"
"07/01/2014","76.65"
"06/01/2014","77.2"
"05/01/2014","84.57"
"04/01/2014","96.77"
"03/01/2014","115.03"
"02/01/2014","126.3"
"01/01/2014","147.88"
"12/01/2013","128.68"
"11/01/2013","119.29"
"10/01/2013","116.7"
"09/01/2013","113.57"
"08/01/2013","115.68"
"07/01/2013","98.77"
"06/01/2013","86.43"
"05/01/2013","85.1"
"04/01/2013","105.79"
"03/01/2013","135.69"
"02/01/2013","112.03"
"01/01/2013","89.39"
"12/01/2012","128.68"
"11/01/2012","63.21"
"10/01/2012","58.59"
"09/01/2012","56.18"
"08/01/2012","55.95"
"07/01/2012","54.12"
"06/01/2012","48.04"
"05/01/2012","39.65"
"04/01/2012","42.21"
"03/01/2012","47.79"
"02/01/2012","52.07"
"01/01/2012","56.23"
"12/01/2011","40.14"
"11/01/2011","36.14"
"10/01/2011","32.75"
"09/01/2011","30.06"
"08/01/2011","28.21"
"07/01/2011","29.16"
"06/01/2011","24.19"
"05/01/2011","23.75"
"04/01/2011","28.66"
"03/01/2011","32.99"
"02/01/2011","31.17"
"01/01/2011","30.8"
"12/01/2010","30.48"
"11/01/2010","30.13"
"10/01/2010","29.57"
"09/01/2010","30.6"
"08/01/2010","30.6"
"07/01/2010","29.7"
"06/01/2010","29.8"
"05/01/2010","30.58"
"04/01/2010","37.57"
"03/01/2010","43.75"
"02/01/2010","46.47"
"01/01/2010","45.29"
"12/01/2009","41.74"
"11/01/2009","41.21"
"10/01/2009","39.98"
"09/01/2009","38.74"
"08/01/2009","37.29"
"07/01/2009","35.57"
"06/01/2009","32.98"
"05/01/2009","34.19"
"04/01/2009","45.36"
"03/01/2009","65.27"
"02/01/2009","70.57"
"01/01/2009","69.22"
"12/01/2008","63.35"
"11/01/2008","57.81"
"10/01/2008","54.33"
"09/01/2008","53.38"
"08/01/2008","55.52"
"07/01/2008","42.99"
"06/01/2008","37.91"
"05/01/2008","32.83"
"04/01/2008","34.6"
"03/01/2008","43.53"
"02/01/2008","39.69"
"01/01/2008","34.18"
"12/01/2007","30.01"
"11/01/2007","20.76"
"10/01/2007","20.76"
"09/01/2007","18.04"
"08/01/2007","16.95"
"07/01/2007","16.23"
"06/01/2007","14.55"
"05/01/2007","14.38"
