Date,Open,High,Low,Close,Adj Close,Volume
2003/12/1,140,140,132.699997,137,137,0
2004/1/1,137,137.75,133.630005,135,135,0
2004/2/1,135,135.5,133.039993,135.5,135.5,0
2004/3/1,135.5,135.5,130.5,133,133,0
2004/4/1,130.740005,133,129.210007,130,130,0
2004/5/1,130,132.110001,129.169998,130,130,0
2004/6/1,130.220001,130.539993,128.570007,130,130,0
2004/7/1,129.960007,131.619995,128.029999,130,130,0
2004/8/1,130,130.679993,128.690002,130,130,0
2004/9/1,129.979996,131.110001,128.429993,130,130,0
2004/10/1,128.160004,133.050003,128.160004,130,130,0
2004/11/1,129.5,130.289993,129.080002,130,130,0
2004/12/1,129.880005,131.25,128.270004,129.5,129.5,0
2005/1/1,129.5,130.5,126.790001,129.5,129.5,0
2005/2/1,127.68,129.5,126.269997,129.5,129.5,0
2005/3/1,127.730003,132.850006,125.959999,130.300003,130.300003,0
2005/4/1,130.300003,133,126.080002,130,130,0
2005/5/1,128.479996,133.25,126.400002,130.25,130.25,0
2005/6/1,130.25,135.050003,125.589996,131.100006,131.100006,0
2005/7/1,131.100006,136,127.300003,133.100006,133.100006,0
2005/8/1,136,137.899994,126.129997,130.25,130.25,0
2005/9/1,130.25,133.600006,125.300003,128.5,128.5,0
2005/10/1,128.5,131,124.809998,128,128,0
2005/11/1,129.25,130.850006,124.029999,129,129,0
2005/12/1,129,130.199997,122.599998,130.199997,130.199997,0
2006/1/1,130.199997,130.199997,123.57,127.5,127.5,0
2006/2/1,127.5,129.699997,122.800003,127.5,127.5,0
2006/3/1,127.5,128.649994,121.040001,121.970001,121.970001,0
2006/4/1,121.790001,128,121.160004,122.099998,122.099998,0
2006/5/1,122.110001,127.5,121.290001,127.5,127.5,0
2006/6/1,123.080002,128,121.93,122.139999,122.139999,0
2006/7/1,122.260002,127.75,121.370003,122.610001,122.610001,0
2006/8/1,122.730003,127.800003,121.760002,122.68,122.68,0
2006/9/1,123.160004,127.699997,121.980003,122.620003,122.620003,0
2006/10/1,122.669998,127.849998,121.949997,122,122,0
2006/11/1,122.040001,127.5,121.959999,122.5,122.5,0
2006/12/1,122.400002,127,122.080002,123.309998,123.309998,0
2007/1/1,123.32,127.5,16.75,121.860001,121.860001,0
2007/2/1,121.769997,123.75,121.769997,122.660004,122.660004,0
2007/3/1,122.620003,127.25,122.110001,122.089996,122.089996,0
2007/4/1,122.099998,127.5,122.019997,122.07,122.07,0
2007/5/1,121.989998,127.099998,121.82,125.290001,125.290001,0
2007/6/1,125.300003,126.5,124.400002,124.639999,124.639999,0
2007/7/1,124.629997,127.339996,124.129997,125.019997,125.019997,0
2007/8/1,125.169998,126.75,123.519997,124.400002,124.400002,0
2007/9/1,124.25,125.5,122.160004,122.160004,122.160004,0
2007/10/1,123.5,124,118.370003,118.989998,118.989998,0
2007/11/1,118.5,120,116.169998,117.900002,117.900002,0
2007/12/1,117.379997,117.75,115.349998,117.330002,117.330002,0
2008/1/1,117.330002,117.5,114.449997,116.059998,116.059998,0
2008/2/1,115.970001,116.690002,114.489998,115.230003,115.230003,0
2008/3/1,116,116,112.910004,115.559998,115.559998,0
2008/4/1,115.449997,116.519997,114.589996,115.389999,115.389999,0
2008/5/1,116,116.75,114.879997,115.559998,115.559998,0
2008/6/1,115.550003,117.510002,114.330002,116.050003,116.050003,0
2008/7/1,118,118.269997,114.900002,115.970001,115.970001,0
2008/8/1,118.550003,119.599998,114.839996,115.629997,115.629997,0
2008/9/1,116.75,118.044998,113.720001,117.339996,117.339996,0
2008/10/1,117.400002,117.970001,112.379997,115.559998,115.559998,0
2008/11/1,115.559998,119.779999,113.43,118.07,118.07,0
2008/12/1,117.75,139.869995,116.5,135.610001,135.610001,0
2009/1/1,135.669998,153.860001,134.270004,143.899994,143.899994,0
2009/2/1,143.899994,150,142.009995,145.639999,145.639999,0
2009/3/1,148.75,148.75,142.110001,147.25,147.25,0
2009/4/1,146.679993,148.960007,144.029999,147.550003,147.550003,0
2009/5/1,147.210007,147.600006,145.479996,145.580002,145.580002,0
2009/6/1,146,149.399994,144.699997,147.600006,147.600006,0
2009/7/1,147,1050,145.270004,156.5,156.5,0
2009/8/1,156,158.520004,151.330002,154.085007,154.085007,0
2009/9/1,151.369995,156.100006,147,147,147,0
2009/10/1,147.600006,152.550003,144.169998,149.630005,149.630005,0
2009/11/1,151.100006,152.899994,146.860001,148.75,148.75,0
2009/12/1,147.300003,152,144.25,147.380005,147.380005,0
