"Variable","Mean","StdDev"
"Year",NA,"3.922217"
"Dates","2017-05-16","1427.793"
"cy",NA,NA
"GDP","454914.2","51438.97"
"LocalUreaPrice","198276","145576.4"
"Month","6.537037","3.505344"
"ExchangeRate","314.5065","177.7631"
"Country",NA,NA
"RealInterest","5.930809","3.894036"
"CPI","0.6366987","0.3248128"
"LocalMaizePrice","355.0108","93.9477"
"ElectionYr",NA,"0.4633654"
"OneYrAfterElectionYr",NA,"0.4580391"
"LocalMaizeYield","18184.25","2458.348"
"ForexRev","23539871246","3195317020"
"WorldUreaPrice","338.4749","151.6055"
"WorldGasPrice","102.0513","62.68426"
"Wedge","5.887401","2.143648"
"UreaMaizeRatio","1.768766","0.4125233"
"LagMaize","276.8689","104.0101"
"CorruptionControl","-1.131494","0.06396252"
"ExchangeRateMovements","0.003812229","0.1404505"
"CPIMovements","0.002382387","0.09408396"
"CR4ratioAnnual","0.85875","0.09493295"
"MonthlyUreaImportMT","6664.858","18912.57"
"NumFirmsImportingFert","17.6","4.96934"
"FuelPrice","156.1373","104.9724"
"SharePrivateSectorSalesAnnual","1","0"
