"Variable","Mean","StdDev"
"Year",NA,"3.766336"
"Dates","2016-12-30","1371.522"
"cy",NA,NA
"GDP","123250.7","161301.3"
"LocalUreaPrice","260111.6","382006.4"
"Month","6.54597","3.455955"
"ExchangeRate","429.6405","658.3496"
"Country",NA,NA
"RealInterest","10.91313","6.319618"
"CPI","0.684182","0.2898074"
"LocalMaizePrice","283.7259","105.5744"
"ElectionYr",NA,"0.4161444"
"OneYrAfterElectionYr",NA,"0.4206116"
"LocalMaizeYield","19264.21","4048.169"
"ForexRev","10309.73","12922.08"
"WorldUreaPrice","320.7445","137.645"
"WorldGasPrice","96.36838","55.85504"
"Wedge","6.086387","1.951813"
"UreaMaizeRatio","2.632599","1.292079"
"LagMaize","284.5606","106.1097"
"CorruptionControl","-0.6630344","0.3491764"
"ExchangeRateMovements","0.003253662","0.2272375"
"CPIMovements","0.001730392","0.09752217"
"CR4ratioAnnual","0.7448509","0.1251102"
"MonthlyUreaImportMT","41002.38","61317.94"
"NumFirmsImportingFert","20.0195","10.20573"
"FuelPrice","460.2307","690.8113"
"SharePrivateSectorSalesAnnual","0.7237967","0.2980341"
