Date,Open,High,Low,Close,Adj Close,Volume
2003/12/1,1015,1044.199951,1015,1029,1029,0
2004/1/1,1029,1088.800049,1029,1038,1038,0
2004/2/1,1038,1088.5,1038,1080,1080,0
2004/3/1,1080,1088.199951,1080,1081,1081,0
2004/4/1,1083.800049,1093,1077.599976,1093,1093,0
2004/5/1,1093,1093.900024,1083,1088,1088,0
2004/6/1,1094.699951,1094.699951,1076.400024,1088,1088,0
2004/7/1,1083.099976,1088,1065,1079,1079,0
2004/8/1,1079,1079,1052.400024,1054,1054,0
2004/9/1,1049,1062.300049,1030.900024,1053,1053,0
2004/10/1,1026.300049,1053,1026.300049,1053,1053,0
2004/11/1,1030.199951,1039.599976,1027,1027,1027,0
2004/12/1,1039.699951,1039.699951,1013.5,1014.299988,1014.299988,0
2005/1/1,1027,1095.400024,1016,1075,1075,0
2005/2/1,1065.599976,1085,1059.400024,1085,1085,0
2005/3/1,1078.400024,1085,1056.599976,1085,1085,0
2005/4/1,1055,1085,1046.599976,1085,1085,0
2005/5/1,1061,1085,1055.099976,1085,1085,0
2005/6/1,1082.900024,1094.199951,1066.900024,1078.300049,1078.300049,0
2005/7/1,1072.099976,1125,1063.900024,1116,1116,0
2005/8/1,1134,1136.5,1075.099976,1131,1131,0
2005/9/1,1131,1140,1083.099976,1120,1120,0
2005/10/1,1120,1143,1098.199951,1115,1115,0
2005/11/1,1142,1196,1121.599976,1185,1185,0
2005/12/1,1185,1186,1109,1145,1145,0
2006/1/1,1145,1191,1116.5,1176,1176,0
2006/2/1,1176,1194,1138.199951,1185,1185,0
2006/3/1,1185,1216.050049,1151,1178,1178,0
2006/4/1,1176.400024,1205,1157.400024,1200,1200,0
2006/5/1,1174.800049,1237,1174.800049,1227,1227,0
2006/6/1,1207.599976,1235,1199.300049,1203.300049,1203.300049,0
2006/7/1,1204.5,1255,1204.5,1255,1255,0
2006/8/1,1246.800049,1294,1235.300049,1281.599976,1281.599976,0
2006/9/1,1294,1301.199951,1173.099976,1235.5,1235.5,0
2006/10/1,1236,1294,1206.900024,1245.300049,1245.300049,0
2006/11/1,1244.5,1279,1235.5,1235.5,1235.5,0
2006/12/1,1234.599976,1260,1218.400024,1220.599976,1220.599976,0
2007/1/1,1220.599976,1300,1220.599976,1243.699951,1243.699951,0
2007/2/1,1242.599976,1290,1219.5,1208.599976,1208.599976,0
2007/3/1,1208.099976,1235,1200.199951,1191.800049,1191.800049,0
2007/4/1,1191.800049,1250,1191.800049,1233.699951,1233.699951,0
2007/5/1,1232.800049,1251,1221.199951,1231.5,1231.5,0
2007/6/1,1231.599976,1250.400024,1218.599976,1218,1218,0
2007/7/1,1217.900024,1279,1217.900024,1254.699951,1254.699951,0
2007/8/1,1256.199951,1267.900024,1245,1261.099976,1261.099976,0
2007/9/1,1259.599976,1260.400024,1204.199951,1204.199951,1204.199951,0
2007/10/1,1236.300049,1236.400024,1097.300049,1140,1140,0
2007/11/1,1120,1174.699951,1101.199951,1157,1157,0
2007/12/1,1151.900024,1167.300049,1094.900024,1149.699951,1149.699951,0
