"Variable","Mean","StdDev"
"Year",NA,"3.077347"
"Dates","2015-08-01","1120.312"
"cy",NA,NA
"GDP","50339.58","10194.55"
"LocalUreaPrice","1111484","205201.4"
"Month","6.582677","3.418997"
"ExchangeRate","1921.157","330.6895"
"Country",NA,NA
"RealInterest","8.804255","4.080954"
"CPI","0.7608861","0.1373951"
"LocalMaizePrice","264.4084","69.07773"
"ElectionYr",NA,"0.2936651"
"OneYrAfterElectionYr",NA,"0.2936651"
"LocalMaizeYield","15397.02","1738.08"
"ForexRev","3071206348","548488809"
"WorldUreaPrice","286.5335","81.10443"
"WorldGasPrice","82.85016","24.28739"
"Wedge","6.373062","0.3732996"
"UreaMaizeRatio","2.358562","0.6729766"
"LagMaize","287.5845","98.51429"
"CorruptionControl","-0.592695","0.1370392"
"ExchangeRateMovements","0.003972927","0.0176164"
"CPIMovements","-0.00241503","0.0862831"
"CR4ratioAnnual","0.8111811","0.1243307"
"MonthlyUreaImportMT","26221.98","21591.12"
"NumFirmsImportingFert","11.48819","2.858755"
"FuelPrice","2002.183","162.7432"
"SharePrivateSectorSalesAnnual","1","0"
