Date,"United Republic of Tanzania, WHOLESALE, National Average, Maize, TZS/100 kg"
02/01/2024,83089.27
01/01/2024,83141.41
12/01/2023,
11/01/2023,87919.56
10/01/2023,89044.33
09/01/2023,
08/01/2023,97808.68
07/01/2023,101417.29
06/01/2023,101916.2
05/01/2023,104765.56
04/01/2023,108669.55
03/01/2023,119276.32
02/01/2023,114762.18
01/01/2023,115792.95
12/01/2022,112598.41
11/01/2022,104691
10/01/2022,102849.55
09/01/2022,95866.33
08/01/2022,89039.63
07/01/2022,87453.05
06/01/2022,79182.91
05/01/2022,70871.22
04/01/2022,63315.43
03/01/2022,60531.42
02/01/2022,62063.39
01/01/2022,67602.65
12/01/2021,55585.5
11/01/2021,48001.76
10/01/2021,46775.05
09/01/2021,44365.77
08/01/2021,44811.71
07/01/2021,43371.04
06/01/2021,42757.79
05/01/2021,43545.86
04/01/2021,44973.18
03/01/2021,47963.38
02/01/2021,51450.19
01/01/2021,56866.74
12/01/2020,56892.09
11/01/2020,58012.83
10/01/2020,57188.13
09/01/2020,54551.62
08/01/2020,56228.5
07/01/2020,58362.09
06/01/2020,56914.5
05/01/2020,56337.35
04/01/2020,59844.54
03/01/2020,66888.29
02/01/2020,85216.22
01/01/2020,94255.6
12/01/2019,88919.08
11/01/2019,86496.66
10/01/2019,82390.79
09/01/2019,72623.73
08/01/2019,67878.89
07/01/2019,62464.59
06/01/2019,60743.17
05/01/2019,59180.52
04/01/2019,54721.81
03/01/2019,50129.47
02/01/2019,50144.83
01/01/2019,49455.65
12/01/2018,47274.16
11/01/2018,41368.38
10/01/2018,38490.72
09/01/2018,39884.87
08/01/2018,40496.7
07/01/2018,41233.77
06/01/2018,42483.02
05/01/2018,42505.45
04/01/2018,45659.38
03/01/2018,49268.65
02/01/2018,47215.08
01/01/2018,49880.38
12/01/2017,52345
11/01/2017,49933.09
10/01/2017,54921.36
09/01/2017,57225.25
08/01/2017,65439.88
07/01/2017,68954.57
06/01/2017,80434.32
05/01/2017,95175.3
04/01/2017,107382.91
03/01/2017,105574.78
02/01/2017,104736.19
01/01/2017,93208.63
12/01/2016,85556.62
11/01/2016,72605.85
10/01/2016,64809.43
09/01/2016,57418.14
08/01/2016,56532.86
07/01/2016,57846.25
06/01/2016,54159.62
05/01/2016,55024.67
04/01/2016,57098.02
03/01/2016,64559.4
02/01/2016,67103.38
01/01/2016,67437.39
12/01/2015,66107.95
11/01/2015,64231.91
10/01/2015,59310.48
09/01/2015,57865.75
08/01/2015,55948.3
07/01/2015,52445.17
06/01/2015,48032.15
05/01/2015,47163.3
04/01/2015,48133.52
03/01/2015,39480.14
02/01/2015,37594.55
01/01/2015,38077.3
12/01/2014,39002.35
11/01/2014,39107.9
10/01/2014,
09/01/2014,40699.98
08/01/2014,41422.12
07/01/2014,45020.3
06/01/2014,49160.41
05/01/2014,49071.24
04/01/2014,50316.55
03/01/2014,52357.95
02/01/2014,56152.15
01/01/2014,56170.84
12/01/2013,54561.46
11/01/2013,53267.72
10/01/2013,53375.88
09/01/2013,52942.49
08/01/2013,52172.87
07/01/2013,49634.26
06/01/2013,48687.28
05/01/2013,56248.91
04/01/2013,66389.27
03/01/2013,72358.41
02/01/2013,77127.65
01/01/2013,76738.95
12/01/2012,72758.03
11/01/2012,64722.83
10/01/2012,59128.58
09/01/2012,53780.81
08/01/2012,50067.42
07/01/2012,52071.63
06/01/2012,52025.05
05/01/2012,52155.21
04/01/2012,46934.95
03/01/2012,42701.21
02/01/2012,42449.05
01/01/2012,44259.37
12/01/2011,42801.47
11/01/2011,42320.89
10/01/2011,42332.39
09/01/2011,42156.74
08/01/2011,41994.39
07/01/2011,44639.25
06/01/2011,45005
05/01/2011,42892.5
04/01/2011,43515.15
03/01/2011,43841.57
02/01/2011,38269.5
01/01/2011,35085.85
12/01/2010,33342.95
11/01/2010,31549.11
10/01/2010,29916.74
09/01/2010,28653.95
08/01/2010,27986.74
07/01/2010,27466.37
06/01/2010,26815.63
05/01/2010,30563.16
04/01/2010,36473.68
03/01/2010,41326.32
02/01/2010,44615.79
01/01/2010,47610.53
12/01/2009,45042.11
11/01/2009,42706.58
10/01/2009,39583.68
09/01/2009,37889.47
08/01/2009,36427.78
07/01/2009,38900
06/01/2009,36145.83
05/01/2009,34981.15
04/01/2009,35901.81
03/01/2009,40166.67
02/01/2009,40055.56
01/01/2009,38194.44
12/01/2008,38000
11/01/2008,32989.38
10/01/2008,31646
09/01/2008,29062.08
08/01/2008,29275
07/01/2008,28634.84
06/01/2008,28470.4
05/01/2008,25622.22
04/01/2008,29225
03/01/2008,32240
02/01/2008,33795
01/01/2008,33395
12/01/2007,24555
11/01/2007,21840
10/01/2007,19622.5
09/01/2007,18415
08/01/2007,16480
07/01/2007,15225
06/01/2007,15210.05
05/01/2007,15280
04/01/2007,16325
03/01/2007,17120
02/01/2007,17400
01/01/2007,19090
12/01/2006,20143.04
11/01/2006,18666.78
10/01/2006,19061.29
09/01/2006,19110.97
08/01/2006,19617.94
07/01/2006,21364.42
06/01/2006,25258.65
05/01/2006,28602.17
04/01/2006,31880.8
03/01/2006,32146.05
02/01/2006,31908.33
01/01/2006,31977.94
