Date,Open,High,Low,Close,Adj Close,Volume
2024/3/1,23.558985,26.72385,23.451103,24.868587,24.953941,0
2024/4/1,24.976486,25.014536,24.476151,24.953941,24.868587,0
2024/2/1,27.105017,27.415461,26.969082,27.109446,27.109446,0
2024/1/1,25.775623,27.055798,25.650408,27.026354,27.026354,0
2023/12/1,23.69865,25.738319,23.69865,25.738319,25.738319,0
2023/11/1,22.040318,23.739799,21.938931,23.697779,23.697779,0
2023/10/1,20.922873,21.973269,20.922873,21.962099,21.962099,0
2023/9/1,20.195059,21.108076,20.180069,20.899973,20.899973,0
2023/8/1,18.911724,20.131161,18.832148,19.942205,19.942205,0
2023/7/1,17.467684,19.515827,17.467684,18.456938,18.456938,0
2023/6/1,19.434528,20.108326,16.874399,17.376507,17.376507,0
2023/5/1,17.694065,19.445173,17.63283,19.326107,19.326107,0
2023/4/1,21.168594,21.168594,17.278292,17.728132,17.728132,0
2023/3/1,19.797829,21.382931,19.797829,21.382931,21.382931,0
2023/2/1,18.941803,19.748854,18.851225,19.727613,19.727613,0
2023/1/1,17.996155,19.0464,17.893612,18.973879,18.973879,0
2022/12/1,16.951702,18.064344,16.951702,18.032185,18.032185,0
2022/11/1,16.325161,17.106386,15.90935,16.947853,16.947853,0
2022/10/1,15.546972,16.265903,15.546972,16.101345,16.101345,0
2022/9/1,15.702136,16.247702,15.193051,15.727539,15.727539,0
2022/8/1,16.321547,16.357277,15.759994,15.907118,15.907118,0
2022/7/1,16.732496,16.781536,16.172043,16.279951,16.279951,0
2022/6/1,17.151752,17.326683,16.659489,17.067675,17.067675,0
2022/5/1,16.957247,17.226337,16.793608,17.171522,17.171522,0
2022/4/1,18.046679,18.046679,16.768414,16.971371,16.971371,0
2022/3/1,17.754827,18.360605,17.575546,17.929634,17.929634,0
2022/2/1,17.947659,18.791115,17.381971,17.550142,17.550142,0
2022/1/1,16.621702,18.058735,16.558968,17.954329,17.954329,0
2021/12/1,17.814695,17.846025,15.963677,16.616858,16.616858,0
2021/11/1,17.367048,17.771521,17.222313,17.742647,17.742647,0
2021/10/1,16.70409,17.22603,16.675772,17.205057,17.205057,0
2021/9/1,15.924371,16.772282,15.924371,16.694374,16.694374,0
2021/8/1,19.221039,19.315138,15.774505,15.813019,15.813019,0
2021/7/1,22.614023,22.672235,18.944477,19.235933,19.235933,0
2021/6/1,22.390354,22.775122,22.390354,22.617052,22.617052,0
2021/5/1,22.412407,22.545786,22.161346,22.446165,22.446165,0
2021/4/1,22.04357,22.294165,21.900585,22.248722,22.248722,0
2021/3/1,21.770538,22.073311,21.759659,22.031519,22.031519,0
2021/2/1,21.376913,21.722898,21.355247,21.706652,21.706652,0
2021/1/1,21.233862,21.393057,21.078245,21.352705,21.352705,0
2020/12/1,21.025398,21.216434,20.796886,21.121559,21.121559,0
2020/11/1,20.549135,21.056774,20.428322,20.970051,20.970051,0
2020/10/1,19.993004,20.549135,19.962345,20.573437,20.573437,0
2020/9/1,19.446894,20.052481,19.446894,19.995644,19.995644,0
2020/8/1,18.036806,19.484373,18.036806,19.484373,19.484373,0
2020/7/1,18.058346,18.238373,17.832891,18.214657,18.214657,0
2020/6/1,18.305901,18.382847,17.755421,17.975704,17.975704,0
2020/5/1,18.507334,18.623978,17.750628,18.264624,18.264624,0
2020/4/1,17.893511,18.921087,17.893511,18.620327,18.620327,0
