"Variable","Mean","StdDev"
"Year",NA,"3.203946"
"Dates","2018-09-15","1164.201"
"cy",NA,NA
"GDP","24531.42","3598.871"
"LocalUreaPrice","9218.479","5024.925"
"Month","6.5","3.465203"
"ExchangeRate","13.13469","5.643463"
"Country",NA,NA
"RealInterest","8.08156","4.764837"
"CPI","0.7047467","0.2617268"
"LocalMaizePrice","165.419","40.53419"
"ElectionYr",NA,"0.3871639"
"OneYrAfterElectionYr",NA,"0.3871639"
"LocalMaizeYield","25331.34","2073.777"
"ForexRev","1192935065","352065478"
"WorldUreaPrice","325.8643","161.5179"
"WorldGasPrice","101.5389","69.459"
"Wedge","6.433607","1.106698"
"UreaMaizeRatio","4.359099","1.002662"
"LagMaize","306.1059","116.0589"
"CorruptionControl","-0.5440108","0.1485595"
"ExchangeRateMovements","-0.03435799","0.5344629"
"CPIMovements","0.002201551","0.08169329"
"CR4ratioAnnual","0.617907","0.07286197"
"MonthlyUreaImportMT","162298.3","41646.48"
"NumFirmsImportingFert","37.2093","7.464159"
"FuelPrice","14.61824","6.273898"
"SharePrivateSectorSalesAnnual","0.6027701","0.1868267"
