"Date","Zambia, RETAIL, National Average, Maize (white), ZMK/20 kg"
"11/01/2023","138.13"
"10/01/2023","134.83"
"09/01/2023","120.28"
"08/01/2023","108.66"
"07/01/2023","105.15"
"06/01/2023","99.1"
"05/01/2023","101.16"
"04/01/2023","109.84"
"03/01/2023","108.82"
"02/01/2023","97.78"
"01/01/2023","93.44"
"12/01/2022","87.75"
"11/01/2022","79.81"
"10/01/2022","75.24"
"09/01/2022","71.98"
"08/01/2022","72.84"
"07/01/2022","68.97"
"06/01/2022","71.3"
"05/01/2022","79.84"
"04/01/2022","80.41"
"03/01/2022","76.86"
"02/01/2022","73.55"
"01/01/2022","67.44"
"12/01/2021","59.21"
"11/01/2021","58.5"
"10/01/2021","57.6"
"09/01/2021","60.92"
"08/01/2021","59.81"
"07/01/2021","58.38"
"06/01/2021","58.56"
"05/01/2021","62.16"
"04/01/2021","65.9"
"03/01/2021","66.76"
"02/01/2021","69.23"
"01/01/2021","67.66"
"12/01/2020","64.28"
"11/01/2020","59.94"
"10/01/2020","56.74"
"09/01/2020","52.34"
"08/01/2020","51.95"
"07/01/2020","50.88"
"06/01/2020","53.49"
"05/01/2020","58.22"
"04/01/2020","82.27"
"03/01/2020","89.21"
"02/01/2020","86.98"
"01/01/2020","82.65"
"12/01/2019","79.02"
"11/01/2019","69.9"
"10/01/2019","60.56"
"09/01/2019","57.55"
"08/01/2019","50.96"
"07/01/2019","45.88"
"06/01/2019","44.87"
"05/01/2019","48.09"
"04/01/2019","51.32"
"03/01/2019","46.5"
"02/01/2019","42.99"
"01/01/2019","41.87"
"12/01/2018","38.51"
"11/01/2018","36.86"
"10/01/2018","34.17"
"09/01/2018","31.93"
"08/01/2018","30.54"
"07/01/2018","29.82"
"06/01/2018","30.37"
"05/01/2018","30.74"
"04/01/2018","29.02"
"03/01/2018","29.25"
"02/01/2018","28.26"
"01/01/2018","29.31"
"12/01/2017","28.18"
"11/01/2017","29"
"10/01/2017","28.31"
"09/01/2017","29.1"
"08/01/2017","31.07"
"07/01/2017","33.97"
"06/01/2017","36.41"
"05/01/2017","42.82"
"04/01/2017","51.12"
"03/01/2017","53.03"
"02/01/2017","49.76"
"01/01/2017","46.46"
"12/01/2016","46.03"
"11/01/2016","41.88"
"10/01/2016","39.93"
"09/01/2016","37.91"
"08/01/2016","34.99"
"07/01/2016","34.4"
"06/01/2016","32.75"
"05/01/2016","35.84"
"04/01/2016","45.35"
"03/01/2016","46.55"
"02/01/2016","42.87"
"01/01/2016","41.19"
"12/01/2015","39.34"
"11/01/2015","34.84"
"10/01/2015","30.79"
"09/01/2015","27.18"
"08/01/2015","26.98"
"07/01/2015","26.99"
"06/01/2015","28.27"
"05/01/2015","29.85"
"04/01/2015","33.5"
"03/01/2015","33.08"
"02/01/2015","31.19"
"01/01/2015","30.28"
"12/01/2014","29.24"
"11/01/2014","26.38"
"10/01/2014","25.88"
"09/01/2014","26.8"
"08/01/2014","25.21"
"07/01/2014","24.22"
"06/01/2014","25.99"
"05/01/2014","30.36"
"04/01/2014","36.03"
"03/01/2014","34.72"
"02/01/2014","32.93"
"01/01/2014","31.31"
"12/01/2013","30.21"
"11/01/2013","28.13"
"10/01/2013","26.81"
"09/01/2013","25.42"
"08/01/2013","25.57"
"07/01/2013","23.8"
"06/01/2013","22.64"
"05/01/2013","25.15"
"04/01/2013","27.02"
"03/01/2013","27.1"
"02/01/2013","25.81"
"01/01/2013","24.39"
"12/01/2012","22.38"
"11/01/2012","20.47"
"10/01/2012","19.18"
"09/01/2012","18.12"
"08/01/2012","17.88"
"07/01/2012","17.91"
"06/01/2012","17.33"
"05/01/2012","17.89"
"04/01/2012","18.62"
