"","LocalUreaPrice","GDP","RealInterest","LocalMaizePrice","ElectionYr","OneYrAfterElectionYr","LocalMaizeYield","ForexRev","WorldUreaPrice","WorldGasPrice","Wedge","UreaMaizeRatio","LagMaize","CorruptionControl","ExchangeRateMovements","CPIMovements","CR4ratioAnnual","MonthlyUreaImportMT","NumFirmsSellingFert","Fuel","SharePrivateSectorSalesAnnual"
"LocalUreaPrice",1,0.0183392246814358,-0.396557704167994,0.0125120061466535,-0.051926649843143,0.0453612388169107,0.118742559688183,-0.201439542011657,0.627168468992769,0.620363273694138,0.273624153969992,0.543697504653019,0.224967734189761,-0.0450303855008117,-0.0566881591658629,0.0185841988285091,-0.23074282738883,0.326674589810672,0.0388777197308354,0.0899732654967653,-0.284277756369296
"GDP",0.0183392246814358,1,-0.259869246686521,-0.151916992799646,0.0187779325026576,-0.00136653463500848,-0.189728110867706,-0.561072089117859,-0.0147847132889838,-0.00515622646465693,0.0488682642118696,-0.0552070560962409,0.0503585739341389,0.317303065146405,0.0274301082306362,0.0377846095485187,-0.208908384029673,-0.289162618488716,-0.322927759493841,0.168085064158343,-0.314587810304651
"RealInterest",-0.396557704167994,-0.259869246686521,1,0.392691092340507,-0.0103897479689597,-0.0219673550952463,0.0394841777680773,0.414219297336374,-0.249956610752193,-0.196875060831092,-0.0604756566142727,-0.516119236402892,-0.116155419833914,0.170504398816338,0.0363325676478059,0.0257726925067595,0.22950856264748,-0.280124116630431,0.182992520754667,-0.307551779706427,0.221457281314811
"LocalMaizePrice",0.0125120061466535,-0.151916992799646,0.392691092340507,1,0.122521629163618,0.0926102534594637,-0.240103143334689,0.487161306656045,0.150638050233707,0.190160475985596,-0.10155017448736,-0.699976471312521,-0.00709802483508561,-0.123426850848418,0.0146919151617961,0.0674112759813955,0.428738630889793,-0.479428049528252,-0.194903045758594,-0.212863447188319,0.356306606105145
"ElectionYr",-0.051926649843143,0.0187779325026576,-0.0103897479689597,0.122521629163618,1,-0.289910378296904,-0.0348529197164813,0.0720837870048643,0.0518304111350674,0.0492903913283031,-0.0294839290570653,-0.100559918385883,-0.0267590273089742,-0.0367050861187997,0.0116355580069669,0.0403597547828655,0.0466940609015146,-0.0328539496641626,-0.0182206698955398,-0.172422466170434,0.0694324059224931
"OneYrAfterElectionYr",0.0453612388169107,-0.00136653463500848,-0.0219673550952463,0.0926102534594637,-0.289910378296904,1,0.148211658729651,0.0559786074976396,0.0734245476872876,0.0663305499241165,-0.0148725754889378,-0.0249331410679508,0.0665516775345494,-0.0335508674986424,0.0300883405439549,0.0148720787917326,-0.0028242248807403,-0.0831376521080251,0.0878736334201591,-0.172175842024251,-0.0216980823957606
"LocalMaizeYield",0.118742559688183,-0.189728110867706,0.0394841777680773,-0.240103143334689,-0.0348529197164813,0.148211658729651,1,-0.211482387036756,0.0868484728112851,0.0925647724342885,-0.0201731473777321,0.39874477974139,0.0404988323163897,0.419492369289052,-0.0444962073376273,0.0109575312425604,-0.315829279546335,0.632890040017981,0.671006075741589,-0.389546590414715,-0.375867713734892
"ForexRev",-0.201439542011657,-0.561072089117859,0.414219297336374,0.487161306656045,0.0720837870048643,0.0559786074976396,-0.211482387036756,1,0.0764923308083232,0.0661237852087172,-0.156685233493085,-0.444360973037359,-0.133907698227769,-0.601685482502105,-0.00721121185434615,0.01837733215862,0.400936932203514,-0.343265297085886,-0.151227525569643,-0.322708404582442,0.501521714101106
"WorldUreaPrice",0.627168468992769,-0.0147847132889838,-0.249956610752193,0.150638050233707,0.0518304111350674,0.0734245476872876,0.0868484728112851,0.0764923308083232,1,0.804148146818416,-0.330180386990243,0.218750425142648,0.0434495432906147,0.0121491110768343,-0.00852273418429957,0.0263618899434675,0.0242067778298261,0.0652987141421589,0.0592717301046404,-0.121296947462498,0.00851850579195989
"WorldGasPrice",0.620363273694138,-0.00515622646465693,-0.196875060831092,0.190160475985596,0.0492903913283031,0.0663305499241165,0.0925647724342885,0.0661237852087172,0.804148146818416,1,-0.130932944446379,0.181907617662577,0.0995127094514479,0.0141592788737585,-0.00697914751221381,0.01293325187572,0.0253431870398235,0.081349069658946,0.0416432836510438,-0.125895157185824,-0.0258851224487789
"Wedge",0.273624153969992,0.0488682642118696,-0.0604756566142727,-0.10155017448736,-0.0294839290570653,-0.0148725754889378,-0.0201731473777321,-0.156685233493085,-0.330180386990243,-0.130932944446379,1,0.221971976205767,0.117914004284426,-0.119365656218478,-0.017326270590049,-0.0148720764202081,-0.224875954461183,0.143950282970727,-0.0208624900671796,0.160092285417539,-0.191945867756132
"UreaMaizeRatio",0.543697504653019,-0.0552070560962409,-0.516119236402892,-0.699976471312521,-0.100559918385883,-0.0249331410679508,0.39874477974139,-0.444360973037359,0.218750425142648,0.181907617662577,0.221971976205767,1,0.136300347368109,0.0481470031675612,-0.0395147737188919,-0.0396694894951354,-0.456607763840901,0.700604581175743,0.315363436729659,0.120883044494951,-0.467753129582421
"LagMaize",0.224967734189761,0.0503585739341389,-0.116155419833914,-0.00709802483508561,-0.0267590273089742,0.0665516775345494,0.0404988323163897,-0.133907698227769,0.0434495432906147,0.0995127094514479,0.117914004284426,0.136300347368109,1,0.0292633967528169,0.0205384402135842,0.0621863393040582,-0.0902359722952045,0.12049556627607,0.079219313250117,-0.00344646574898754,-0.13047245044579
"CorruptionControl",-0.0450303855008117,0.317303065146405,0.170504398816338,-0.123426850848418,-0.0367050861187997,-0.0335508674986424,0.419492369289052,-0.601685482502105,0.0121491110768343,0.0141592788737585,-0.119365656218478,0.0481470031675612,0.0292633967528169,1,-0.0168201542895454,0.00534315410527781,-0.0526138395712498,0.16691009694833,0.337156073714781,0.0794701650893627,-0.196587076699695
"ExchangeRateMovements",-0.0566881591658629,0.0274301082306362,0.0363325676478059,0.0146919151617961,0.0116355580069669,0.0300883405439549,-0.0444962073376273,-0.00721121185434615,-0.00852273418429957,-0.00697914751221381,-0.017326270590049,-0.0395147737188919,0.0205384402135842,-0.0168201542895454,1,0.187849995270057,-0.0174567655434894,-0.0583281606681973,-0.0469483418884389,0.0280201784119081,-0.00174826771217698
"CPIMovements",0.0185841988285091,0.0377846095485187,0.0257726925067595,0.0674112759813955,0.0403597547828655,0.0148720787917326,0.0109575312425604,0.01837733215862,0.0263618899434675,0.01293325187572,-0.0148720764202081,-0.0396694894951354,0.0621863393040582,0.00534315410527781,0.187849995270057,1,0.0115831453308282,-0.0383992247309938,0.0231230720977452,-0.0243330199160196,0.0211409435209251
"CR4ratioAnnual",-0.23074282738883,-0.208908384029673,0.22950856264748,0.428738630889793,0.0466940609015146,-0.0028242248807403,-0.315829279546335,0.400936932203514,0.0242067778298261,0.0253431870398235,-0.224875954461183,-0.456607763840901,-0.0902359722952045,-0.0526138395712498,-0.0174567655434894,0.0115831453308282,1,-0.329240305288299,-0.385114995484163,0.14334391209123,0.512462413513266
"MonthlyUreaImportMT",0.326674589810672,-0.289162618488716,-0.280124116630431,-0.479428049528252,-0.0328539496641626,-0.0831376521080251,0.632890040017981,-0.343265297085886,0.0652987141421589,0.081349069658946,0.143950282970727,0.700604581175743,0.12049556627607,0.16691009694833,-0.0583281606681973,-0.0383992247309938,-0.329240305288299,1,0.517482176760147,-0.06936441561269,-0.292089303800154
"NumFirmsSellingFert",0.0388777197308354,-0.322927759493841,0.182992520754667,-0.194903045758594,-0.0182206698955398,0.0878736334201591,0.671006075741589,-0.151227525569643,0.0592717301046404,0.0416432836510438,-0.0208624900671796,0.315363436729659,0.079219313250117,0.337156073714781,-0.0469483418884389,0.0231230720977452,-0.385114995484163,0.517482176760147,1,-0.41877652658241,-0.186107080298108
"Fuel",0.0899732654967653,0.168085064158343,-0.307551779706427,-0.212863447188319,-0.172422466170434,-0.172175842024251,-0.389546590414715,-0.322708404582442,-0.121296947462498,-0.125895157185824,0.160092285417539,0.120883044494951,-0.00344646574898754,0.0794701650893627,0.0280201784119081,-0.0243330199160196,0.14334391209123,-0.06936441561269,-0.41877652658241,1,0.152816951693898
"SharePrivateSectorSalesAnnual",-0.284277756369296,-0.314587810304651,0.221457281314811,0.356306606105145,0.0694324059224931,-0.0216980823957606,-0.375867713734892,0.501521714101106,0.00851850579195989,-0.0258851224487789,-0.191945867756132,-0.467753129582421,-0.13047245044579,-0.196587076699695,-0.00174826771217698,0.0211409435209251,0.512462413513266,-0.292089303800154,-0.186107080298108,0.152816951693898,1
